T,D,P
似,닮다,じ/にる
然,그러하다,ぜん·ねん
塞,막다,さい·そく/ふさがる·ふさぐ
照,비추다,しょう/てらす·てる·てれる
避,피하다,ひ/さける
孤,고독하다,こ
隣,이웃,りん/となり·となる
返,돌려주다,へん/かえす·かえる
久,오래되다,きゅう·く/ひさ しい
難,어렵다,なん/むずかしい·かたい
全,전부,ぜん/すべて·まったく
悔,후회하다,かい/くいる·くやしい·くやむ
労,노력하다,ろう
主,"주인, 주요",しゅ·す/おも·ぬし
肉,고기,にく
性,성격,せい·しょう
実,"사실, 실현하다",じつ/み·みのる
懸,매달다,けん·け/かかる·かける
太,"크다, 두껍다",た·たい/ふとい·ふとる
摘,따다,てき/つむ
日,날,じつ·にち/か·ひ
撃,치다,げき/うつ
生,"태어나다, 삶",しょう·せい/いかす·いきる·いける·うまれる·うむ·なま·はえる·はやす·おう·き
映,비추다,え い/うつす·うつる·はえる傷,상처,しょう/きず·いたむ·いためる
愚,어리석다,ぐ/おろか
騒,시끄럽다,そう/さわぐ
動,움직이다,どう/うごかす·うごく
冷,차갑다,れい/さます·さめる·つめたい·ひえる·ひや·ひやかす·ひやす
炊,밥을 짓다,すい/たく
方,방향,ほう/かた
体,몸,たい·てい/からだ
進,나아가다,しん/すすむ·すすめる
寝,자다,しん/ねかす·ねる
週,주(week),しゅう
多,많다,た/おおい
丈,길이,じょう/たけ
憶,기억하다,おく
電,전기,でん
当,"당연하다, 맡다",とう/あたる·あてる
合,합치다,かっ·がっ·ごう/あう·あわす·あわせる
係,"관계, 담당",けい/かかり·かかる
答,대답하다,とう/こたえ·こたえる
細,"가늘다, 세밀하다",さい/こまか·こまかい·ほそい·ほそる
抜,뽑다,ばつ/ぬかす·ぬか る·ぬく·ぬける
像,"모습, 형상",ぞう
定,정하다,じょう·てい/さだまる·さだめる·さだか
非,잘못,ひ
毎,매번,まい
緒,"시작, 실마리",しょ·ちょ/お
起,일어나다,き/おきる·おこす·おこる
説,설명하다,せつ·ぜい/とく
問,묻다,もん/と い·とう·とん
剰,남다,じょう
認,인정하다,にん/みとめる
気,"기분, 마음",き·け
未,아직,み
写,"쓰다, 복사하다",しゃ/うつす·うつる
女,여자,じょ·にょ·にょう/おんな·め
過,지나가다,か/すぎる·すごす·あやまち·あやまつ
光,빛,こう/ひかり·ひかる
刺,찌르다,し/ささる·さす
置,두다,ち/おく
克,이기다,こく
将,"장군, 장차",しょう
依,의지하다,い·え
失,잃다,しつ/うしなう
度,"정도, 횟수",ど·たく·と/たび
臓,내장,ぞう
声,소리,せい·しょう/こえ·こわ
批,비평하다,ひ
少,적다,しょう/すくない·すこし
確,확실하다,かく/たしか·たしかめる
薬,약,やく/くすり
程,"정도, 과정",てい/ほど
闇,어둠,やみ
含,포함하다,がん/ふくむ·ふくめる
固,굳다,こ/かた い·かたまる·かためる
札,"표, 팻말",さつ/ふだ
資,"자산, 자료",し
化,변화하다,か·け/ばかす·ばける
忙,바쁘다,ぼう/いそがしい
施,시행하다,し·せ/ほどこす時,시간,じ/とき
引,끌다,いん/ひく·ひける
留,머무르다,りゅう·る/とまる·とめる
来,오다,らい/くる·きたす·きたる
夢,꿈,む/ゆめ
適,적합하다,てき
景,경치,けい
利,이익,り/きく
覚,깨닫다,かく/おぼえる·さます·さめる
周,둘레,しゅう/まわり
由,"이유, 원인",ゆ·ゆう·ゆい/よし
飲,마시다,いん/のむ
波,파도,は/なみ
理,이치,り
正,바르다,しょう·せい/ただしい·ただす·まさ
祈,기도하다,き/いのる
対,대하다,たい·つい
前,앞,ぜん/まえ
親,"친하다, 부모",しん/おや·したしい·したしむ
向,향하다,こう/むかう·むく·むける·むこう
強,강하다,きょう·ご う/つよい·つよまる·つよめる·しいる
識,인식하다,しき
胸,가슴,きょう/むね· むな
質,품질,しつ·しち·ち
師,스승,し
本,"책, 기본",ほん/もと
詳,자세하다,しょう/くわしい
車,차,しゃ/くるま
決,결정하다,けつ/きまる·きめる
担,맡다,たん/かつぐ·になう
援,지원하다,えん
勘,직감,かん
休,쉬다,きゅう/やすまる·やすむ·やすめる
料,재료,りょう
社,"회사, 사원",しゃ/やしろ
慮,생각하다,りょ
清,깨끗하다,せい·しょう/きよい·きよまる·きよめる
撮,찍다,さつ/とる
通,통하다,つう·つ/かよう·とおす·とおる
宿,숙박,しゅく/やど·やどす·やどる
